ID Substack,Titre,Sous-titre,Date publication,Statut publication,Audience,Section,Concepts,Personnages,Niveau canonique,URL,Archive maître,Médias,Relations,Mots,Liens sortants,Envois,Ouvertures,Provenance des métadonnées
individu-vertical-dans-un-monde-horizontal,🌐↕️INDIVIDU VERTICAL DANS UN MONDE HORIZONTAL↔️🌎,Quand l'illusion de la solitude pousse au processus...,2025-12-13,publié,everyone,Théories & Laboratoire conceptuel,,,,https://leverbevertical.substack.com/p/individu-vertical-dans-un-monde-horizontal,,1,3,439,3,4,3,Export Substack 10/08/2026
individu-vertical-dans-un-monde-horizontal-dd6,💪LE SYNDROME DU GRAND FRÈRE IMAGINAIRE,Comprendre l’origine d’un phénomène masculin et briser enfin le tabou,2025-12-13,publié,everyone,Théories & Laboratoire conceptuel,L'Axe (verticalité),,,https://leverbevertical.substack.com/p/individu-vertical-dans-un-monde-horizontal-dd6,,1,4,1008,3,4,2,Export Substack 10/08/2026
la-theorie-de-lhomme-vertical-et,🜁 LA THÉORIE DE L’HOMME VERTICAL ET DE LA LUMIÈRE RÉFRACTÉE,Et si toutes les Réalités ont réellement exister ? ,2025-12-13,publié,everyone,Théories & Laboratoire conceptuel,L'Axe (verticalité),,,https://leverbevertical.substack.com/p/la-theorie-de-lhomme-vertical-et,,1,4,694,3,5,5,Export Substack 10/08/2026
le-potentiel-latent,𓂀 LE POTENTIEL LATENT 𓂀,70% des humains n'aiment pas ce qu'il font,2025-12-14,publié,everyone,Théories & Laboratoire conceptuel,,,,https://leverbevertical.substack.com/p/le-potentiel-latent,,1,3,517,3,5,1,Export Substack 10/08/2026
la-crise-existentielle, ◇🔴 LA CRISE EXISTENTIELLE 🪞◇,Suis-je réellement l'image que j'ai de moi-même ? Est-ce que Dieu est le fruit de mon imagination ? Tout cela a-t-il un sens ?       [Corpus d'archives brutes — Strate fondatrice]  ,2025-12-15,publié,everyone,Univers Mentis Prime,La Crise Existentielle,,,https://leverbevertical.substack.com/p/la-crise-existentielle,,2,5,1133,14,6,3,Export Substack 10/08/2026
le-juge-interieur, ◇🔵 LE JUGE INTÉRIEUR ⚖️ ◇,Sommes-nous réellement juste ? Et si la lucidité sur soi et le monde était le vrai levier de liberté ? [Corpus d'archives brutes — Strate fondatrice]  ,2025-12-15,publié,everyone,Univers Mentis Prime,Le Démon Intérieur · Le Juge Intérieur,,,https://leverbevertical.substack.com/p/le-juge-interieur,,2,6,833,12,6,5,Export Substack 10/08/2026
lenfant-transcende,◇⚪ L’ENFANT TRANSCENDÉ 🌎◇ ,"Et si l’on pouvait toujours trouver sens à aimer, donner, remercier et contempler en pleine présence, sans naïveté complaisante, sans bruit ni possessivité ? [Corpus d'archives brutes] ",2025-12-15,publié,everyone,Univers Mentis Prime,L'Axe (verticalité) · L'Enfant Transcendé · Épicothérapie,,,https://leverbevertical.substack.com/p/lenfant-transcende,,3,7,1051,25,5,2,Export Substack 10/08/2026
lenfant-interieur,◇🟠 L’ENFANT INTÉRIEUR 👶 ◇,À partir de quand nous sommes-nous oubliés ? Et si la vulnérabilité était en réalité le vrai potentiel ? [Corpus d'archives brutes — Strate fondatrice] ,2025-12-15,publié,everyone,Univers Mentis Prime,L'Axe (verticalité) · L'Enfant Intérieur,,,https://leverbevertical.substack.com/p/lenfant-interieur,,3,6,1153,13,6,5,Export Substack 10/08/2026
le-heros-interieur,◇🟡 LE HÉROS INTÉRIEUR 💪 ◇,Avons-nous un rapport sain avec l'inconfort ? Et si la force de se lever était la première étape de la renaissance ?                                     [Corpus d'archives brutes — Strate fondatrice] ,2025-12-15,publié,everyone,Univers Mentis Prime,Le Héros Intérieur · Le Sage Intérieur,,,https://leverbevertical.substack.com/p/le-heros-interieur,,3,6,1228,16,6,5,Export Substack 10/08/2026
le-sage-interieur,◇🟢 LE SAGE INTÉRIEUR 📚◇ ,Quelles sont nos angles morts ? Et si la véritable force résidait dans la maîtrise du repos et la quête de harmonie et de vérité ?   [Corpus d'archives brutes — Strate fondatrice] ,2025-12-15,publié,everyone,Univers Mentis Prime,Le Sage Intérieur,,,https://leverbevertical.substack.com/p/le-sage-interieur,,3,5,1067,15,6,1,Export Substack 10/08/2026
le-demon-interieur,◇🟣 LE DÉMON INTÉRIEUR 🔥◇,Et si nos instincts primaires étaient une force à comprendre plutôt qu’à refouler ?         [Corpus d'archives brutes — Strate fondatrice]  ,2025-12-15,publié,everyone,Univers Mentis Prime,Le Démon Intérieur,,,https://leverbevertical.substack.com/p/le-demon-interieur,,2,5,828,14,5,14,Export Substack 10/08/2026
epicotherapie,◇🏛️ L'ÉPICOTHÉRAPIE - 🧬 L'ARCHITECTURE D'INDIVIDUATION DE DEMAIN◇ ,Sommes-nous alignés avec le récit que l'on se raconte ? Qu'incarnons-nous réellement ? [Corpus d'archives brutes — Strate fondatrice] ,2025-12-17,publié,everyone,Univers Mentis Prime,Individuation · L'Axe (verticalité) · Épicothérapie,,,https://leverbevertical.substack.com/p/epicotherapie,,27,7,2777,53,5,3,Export Substack 10/08/2026
ia-verticale-vers-une-super-intelligence," ◇🌐 L'IA VERTICALE - LA SUPER-INTELLIGENCE DU DISCERNEMENT, DU VIVANT & DU SENS ◇",Et si il fallait changer de langage ? Changer notre rapport à la puissance ? Et que tout est déjà en nous ? [Corpus d'archives brutes — Strate fondatrice]  ,2025-12-19,publié,everyone,Univers Mentis Prime,L'Axe (verticalité) · Sens / information / performance,,,https://leverbevertical.substack.com/p/ia-verticale-vers-une-super-intelligence,,5,6,1548,26,5,1,Export Substack 10/08/2026
le-chromato-symbolique-vs-le-semanto,◇🌈CHROMATO-SYMBOLIQUE⚛️ vs 🔠SÉMANTO-NUMÉRIQUE🔢 - VERS UN LANGAGE AXIAL PAR NŒUDS DE SENS◇,"Et s’il existait un langage axial par nœuds de sens qui pourrait devancer le code en reliant d'une manière inédite : L'anthropologie avec la psychologie, mythologie et technologie ? [Corpus brut]  ",2025-12-20,publié,everyone,Univers Mentis Prime,Le Beingjectif · Sens / information / performance · Épicothérapie,,,https://leverbevertical.substack.com/p/le-chromato-symbolique-vs-le-semanto,,4,7,2237,33,6,1,Export Substack 10/08/2026
xxxxy-la-matrice-gyno-androgyne,🜁 🧬 {[X-[XY/XX]] LA THÉORIE DU FÉMININ PRIMORDIAL & LA MATRICE GYNO-ANDROGYNE,Et si le masculin n’était qu'une expression visible d'une notion primordiale qui nous échappe ? Que la complémentarité était une illusion ? ,2025-12-21,brouillon,everyone,Théories & Laboratoire conceptuel,,,,https://leverbevertical.substack.com/p/xxxxy-la-matrice-gyno-androgyne,,0,1,494,0,8,5,Export Substack 10/08/2026
les-8-valeurs-fondamentales-epiques,◇🌟 LES 8 VALEURS FONDAMENTALES ÉPIQUES◇, Que nos valeurs transcendent les frontières et les générations... [Corpus d'archives brutes — Strate fondatrice]  ,2025-12-23,publié,everyone,Univers Mentis Prime,L'Axe (verticalité),,,https://leverbevertical.substack.com/p/les-8-valeurs-fondamentales-epiques,,5,5,903,16,12,7,Export Substack 10/08/2026
letrejectif-langle-mort-de-lesprit, ◇🔨✨ L'ÊTREJECTIF - L'ANGLE MORT DE L'ESPRIT◇, ✿-Y-❀ Quand nommer c'est bâtir une nouvelle porte qui déplace le destin. [Corpus d'archives brutes — Strate fondatrice]  ,2025-12-24,publié,everyone,Univers Mentis Prime,Le Beingjectif · Noétique,,,https://leverbevertical.substack.com/p/letrejectif-langle-mort-de-lesprit,,3,6,1489,18,14,7,Export Substack 10/08/2026
jecris-pour-survivre,◇🔴-[🌐-[🪞✨🏛️]] J'ÉCRIS POUR SURVIVRE...◇, La naissance de l'Architect de Vérité.✨ [Corpus d'archives brutes — Strate fondatrice]  ,2025-12-25,publié,everyone,Univers Mentis Prime,L'Axe (verticalité),,,https://leverbevertical.substack.com/p/jecris-pour-survivre,,27,5,1912,49,13,13,Export Substack 10/08/2026
les-8-causes-humanitaires-une-porte,◇ 🌍 LES 8 CAUSES HUMANITAIRES -🚪 UNE PORTE FONDATRICE POUR L'AXE CIVILISATIONNEL DE DEMAIN 🏛️ ◇,Sommes-nous entrain de comprendre ce qu'il se passe ? Que pouvons-nous faire ?                      [Corpus d'archives brutes — Strate fondatrice]  ,2025-12-26,publié,everyone,Univers Mentis Prime,L'Axe (verticalité) · La Crise Existentielle · Épicothérapie,,,https://leverbevertical.substack.com/p/les-8-causes-humanitaires-une-porte,,16,7,4878,49,12,7,Export Substack 10/08/2026
individuation-le-seuil,◇🚪 INDIVIDUATION - LE SEUIL NUMINEUX ◇ ," Ancrage, Décalage & Saturation symbolique [Corpus d'archives brutes — Strate fondatrice] ",2026-01-04,publié,everyone,Univers Mentis Prime,Individuation · Le Beingjectif,,,https://leverbevertical.substack.com/p/individuation-le-seuil,,11,6,2583,26,20,15,Export Substack 10/08/2026
code-qtlx-vers-la-technologie-du,◇ 🌐-[🧠 : CODE QTLX - VERS LA GRAMMAIRE HOLOGRAPHIQUE POUR UNE TECHNOLOGIE DU SENS ◇, Matrice du discernement et Modèle de coordination d'intelligence et du vivant. [Corpus d'archives brutes — Strate fondatrice]  ,2026-01-05,publié,everyone,Univers Mentis Prime,Axe méthodologique · Code QTLX · Individuation · Noétique,,,https://leverbevertical.substack.com/p/code-qtlx-vers-la-technologie-du,,15,8,10657,45,20,18,Export Substack 10/08/2026
